display_name,authority,authority_id,rank,kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,variety,form,processing_timestamp,match_status
Agelenidae,ITIS,871511,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,NA,Araneae,NA,NA,NA,Agelenidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:33:11Z,success
Agonum,ITIS,110242,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Adephaga,NA,NA,Carabidae,Harpalinae,Platynini,NA,Agonum,NA,NA,NA,NA,NA,2025-11-16T23:23:51Z,success
Agroeca,ITIS,871582,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,NA,Araneae,NA,NA,NA,Liocranidae,NA,NA,NA,Agroeca,NA,NA,NA,NA,NA,2025-11-16T23:23:51Z,success
Agromyza,ITIS,143386,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Agromyzidae,Agromyzinae,NA,NA,Agromyza,NA,NA,NA,NA,NA,2025-11-16T23:23:52Z,success
Agromyzidae,ITIS,143384,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Agromyzidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:23:53Z,success
Ahasverus,ITIS,114304,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Cucujoidea,Silvanidae,Silvaninae,NA,NA,Ahasverus,NA,NA,NA,NA,NA,2025-11-16T23:23:53Z,success
Alaudes,GBIF,4724398,Genus,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Coleoptera,NA,NA,NA,Tenebrionidae,NA,NA,NA,Alaudes,NA,NA,NA,NA,NA,2025-11-16T23:23:55Z,success
Alconeura,GBIF,2049031,Genus,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Hemiptera,NA,NA,NA,Cicadellidae,NA,NA,NA,Alconeura,NA,NA,NA,NA,NA,2025-11-16T23:23:56Z,success
Aleochara,ITIS,186399,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Staphyliniformia,Staphylinoidea,Staphylinidae,Aleocharinae,Aleocharini,NA,Aleochara,NA,NA,NA,NA,NA,2025-11-16T23:23:56Z,success
Aleyrodidae,ITIS,109189,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Sternorrhyncha,NA,Aleyrodoidea,Aleyrodidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:23:57Z,success
Algarobius,ITIS,187739,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Bruchinae,NA,NA,Algarobius,NA,NA,NA,NA,NA,2025-11-16T23:23:58Z,success
Allocosa,ITIS,847830,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,NA,Araneae,NA,NA,NA,Lycosidae,NA,NA,NA,Allocosa,NA,NA,NA,NA,NA,2025-11-16T23:23:59Z,success
Alopecosa,ITIS,847837,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,NA,Araneae,NA,NA,NA,Lycosidae,NA,NA,NA,Alopecosa,NA,NA,NA,NA,NA,2025-11-16T23:24:00Z,success
Altica,ITIS,719709,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,NA,Altica,NA,NA,NA,NA,NA,2025-11-16T23:24:00Z,success
Alticini,ITIS,719593,Tribe,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:32:50Z,success
Alysiinae,ITIS,1141999,Subfamily,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Terebrantes,Ichneumonoidea,Braconidae,Alysiinae,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:01Z,success
Amara,ITIS,110847,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Adephaga,NA,NA,Carabidae,Harpalinae,Zabrini,NA,Amara,NA,NA,NA,NA,NA,2025-11-16T23:24:02Z,success
Amblypygi,ITIS,690744,Order,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,NA,Amblypygi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:03Z,success
Ammotrechidae,ITIS,690762,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,NA,Solifugae,NA,NA,NA,Ammotrechidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:33:09Z,success
Amphientomidae,ITIS,660988,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Psocodea,Troctomorpha,Amphientometae,Amphientomoidea,Amphientomidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:04Z,success
Andrenidae,ITIS,154361,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:05Z,success
Anepsius,GBIF,9800619,Genus,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Coleoptera,NA,NA,NA,Tenebrionidae,NA,NA,NA,Anepsius,NA,NA,NA,NA,NA,2025-11-16T23:24:06Z,success
Anobiidae,ITIS,114459,Family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anobiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:07Z,success
Anthicidae,ITIS,114405,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Anthicidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:08Z,success
Anthicus,ITIS,187165,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Anthicidae,Anthicinae,NA,NA,Anthicus,NA,NA,NA,NA,NA,2025-11-16T23:24:09Z,success
Anthocoridae,ITIS,106903,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Heteroptera,Cimicomorpha,Cimicoidea,Anthocoridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:10Z,success
Anthomyiidae,ITIS,148685,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Anthomyiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:10Z,success
Anthrenus,ITIS,114985,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Bostrichiformia,Bostrichoidea,Dermestidae,Megatominae,NA,NA,Anthrenus,NA,NA,NA,NA,NA,2025-11-16T23:24:12Z,success
Anystidae,ITIS,895683,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,Acariformes,Trombidiformes,Prostigmata,Anystina,Anystoidea,Anystidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:32:19Z,success
Anystoidea,ITIS,895631,Superfamily,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,Acariformes,Trombidiformes,Prostigmata,Anystina,Anystoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:32:32Z,success
Aphaenogaster,ITIS,574031,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Myrmicinae,Pheidolini,NA,Aphaenogaster,NA,NA,NA,NA,NA,2025-11-16T23:24:13Z,success
Aphelinidae,ITIS,709300,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Terebrantes,Chalcidoidea,Aphelinidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:14Z,success
Aphididae,ITIS,109191,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Sternorrhyncha,NA,Aphidoidea,Aphididae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:15Z,success
Aphis,ITIS,200573,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Sternorrhyncha,NA,Aphidoidea,Aphididae,NA,NA,NA,Aphis,NA,NA,NA,NA,NA,2025-11-16T23:33:40Z,success
Aphodius,ITIS,114494,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Scarabeiformia,Scarabaeoidea,Scarabaeidae,Aphodiinae,Aphodiini,NA,Aphodius,NA,NA,NA,NA,NA,2025-11-16T23:24:16Z,success
Aphytis,GBIF,1363974,Genus,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Hymenoptera,NA,NA,NA,Aphelinidae,NA,NA,NA,Aphytis,NA,NA,NA,NA,NA,2025-11-16T23:24:17Z,success
Apidae,ITIS,154394,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:18Z,success
Apinae,ITIS,633913,Subfamily,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:11Z,success
Apiomerus,ITIS,107203,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Heteroptera,Cimicomorpha,Reduvoidea,Reduviidae,Harpactorinae,Apiomerini,NA,Apiomerus,NA,NA,NA,NA,NA,2025-11-16T23:24:18Z,success
Apionidae,ITIS,188355,Family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:19Z,success
Apis,ITIS,154395,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae,Apini,NA,Apis,NA,NA,NA,NA,NA,2025-11-16T23:24:20Z,success
Apis mellifera,ITIS,154396,Species,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae,Apini,NA,Apis,NA,Apis mellifera,NA,NA,NA,2025-11-16T23:28:21Z,success
Apocellus,ITIS,690997,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Staphyliniformia,Staphylinoidea,Staphylinidae,Oxytelinae,NA,NA,Apocellus,NA,NA,NA,NA,NA,2025-11-16T23:24:21Z,success
Apollophanes,ITIS,871656,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,NA,Araneae,NA,NA,NA,Philodromidae,NA,NA,NA,Apollophanes,NA,NA,NA,NA,NA,2025-11-16T23:24:22Z,success
Aradidae,ITIS,107476,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Heteroptera,Pentatomomorpha,Aradoidea,Aradidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:22Z,success
Araeoschizus,GBIF,4724392,Genus,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Coleoptera,NA,NA,NA,Tenebrionidae,NA,NA,NA,Araeoschizus,NA,NA,NA,NA,NA,2025-11-16T23:24:24Z,success
Araeoschizus sulcicollis,GBIF,9670785,Species,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Coleoptera,NA,NA,NA,Tenebrionidae,NA,NA,NA,Araeoschizus,NA,Araeoschizus sulcicollis,NA,NA,NA,2025-11-16T23:31:03Z,success
Araneidae,ITIS,82737,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,NA,Araneae,NA,NA,NA,Araneidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:25Z,success
Archaeognatha,ITIS,563887,Subclass,NA,NA,NA,NA,NA,NA,NA,NA,Archaeognatha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:28:31Z,success
Arctiinae,ITIS,693997,Subfamily,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,NA,NA,Noctuoidea,Erebidae,Arctiinae,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:26Z,success
Arctosa,ITIS,847908,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,NA,Araneae,NA,NA,NA,Lycosidae,NA,NA,NA,Arctosa,NA,NA,NA,NA,NA,2025-11-16T23:24:26Z,success
Arenivaga,ITIS,102410,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Polyneoptera,Blattodea,NA,NA,Corydioidea,Corydiidae,Corydiinae,NA,NA,Arenivaga,NA,NA,NA,NA,NA,2025-11-16T23:24:27Z,success
Argidae,ITIS,152757,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Symphyta,NA,Tenthredinoidea,Argidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:28Z,success
Argoporis,GBIF,4723743,Genus,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Coleoptera,NA,NA,NA,Tenebrionidae,NA,NA,NA,Argoporis,NA,NA,NA,NA,NA,2025-11-16T23:24:29Z,success
Argoporis bicolor,GBIF,9795973,Species,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Coleoptera,NA,NA,NA,Tenebrionidae,NA,NA,NA,Argoporis,NA,Argoporis bicolor,NA,NA,NA,2025-11-16T23:32:56Z,success
Arhyssus,ITIS,108491,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Heteroptera,Pentatomomorpha,Coreoidea,Rhopalidae,Rhopalinae,Niesthreini,NA,Arhyssus,NA,NA,NA,NA,NA,2025-11-16T23:32:28Z,success
Arthrolips,ITIS,779732,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Corylophidae,Corylophinae,Parmulini,NA,Arthrolips,NA,NA,NA,NA,NA,2025-11-16T23:24:30Z,success
Asbolus,GBIF,3262152,Genus,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Coleoptera,NA,NA,NA,Tenebrionidae,NA,NA,NA,Asbolus,NA,NA,NA,NA,NA,2025-11-16T23:24:31Z,success
Asbolus verrucosus,GBIF,9670677,Species,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Coleoptera,NA,NA,NA,Tenebrionidae,NA,NA,NA,Asbolus,NA,Asbolus verrucosus,NA,NA,NA,2025-11-16T23:33:06Z,success
Asilidae,ITIS,132394,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Asilidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:34Z,success
Asteiidae,ITIS,144450,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Asteiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:35Z,success
Ataenius,ITIS,187489,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Scarabeiformia,Scarabaeoidea,Scarabaeidae,Aphodiinae,Eupariini,NA,Ataenius,NA,NA,NA,NA,NA,2025-11-16T23:24:36Z,success
Athysanella,GBIF,2046362,Genus,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Hemiptera,NA,NA,NA,Cicadellidae,NA,NA,NA,Athysanella,NA,NA,NA,NA,NA,2025-11-16T23:24:37Z,success
Atractotomus,ITIS,106354,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Heteroptera,Cimicomorpha,Miroidea,Miridae,Phylinae,Phylini,NA,Atractotomus,NA,NA,NA,NA,NA,2025-11-16T23:28:46Z,success
Atrazonotus,ITIS,107975,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Heteroptera,Pentatomomorpha,Lygaeoidea,Rhyparochromidae,Rhyparochrominae,Gonianotini,NA,Atrazonotus,NA,NA,NA,NA,NA,2025-11-16T23:24:38Z,success
Atta mexicana,ITIS,578538,Species,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Myrmicinae,Attini,NA,Atta,NA,Atta mexicana,NA,NA,NA,2025-11-16T23:34:00Z,success
Aufeius,ITIS,108481,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Heteroptera,Pentatomomorpha,Coreoidea,Rhopalidae,Rhopalinae,Harmostini,NA,Aufeius,NA,NA,NA,NA,NA,2025-11-16T23:24:38Z,success
Axinopalpus,ITIS,111703,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Adephaga,NA,NA,Carabidae,Harpalinae,Lebiini,NA,Axinopalpus,NA,NA,NA,NA,NA,2025-11-16T23:24:40Z,success
Baetidae,ITIS,100755,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,NA,Baetidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:40Z,success
Balclutha,ITIS,200002,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Auchenorrhyncha,Cicadomorpha,Membracoidea,Cicadellidae,NA,NA,NA,Balclutha,NA,NA,NA,NA,NA,2025-11-16T23:32:34Z,success
Batuliodes,GBIF,4724140,Genus,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Coleoptera,NA,NA,NA,Tenebrionidae,NA,NA,NA,Batuliodes,NA,NA,NA,NA,NA,2025-11-16T23:24:41Z,success
Bdellidae,ITIS,82755,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,Acariformes,Trombidiformes,Prostigmata,Eupodina,Bdelloidea,Bdellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:32:10Z,success
Bembidion,ITIS,109786,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Adephaga,NA,NA,Carabidae,Trechinae,Bembidiini,NA,Bembidion,NA,NA,NA,NA,NA,2025-11-16T23:24:42Z,success
Berytidae,ITIS,107642,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Heteroptera,Pentatomomorpha,Lygaeoidea,Berytidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:43Z,success
Bethylidae,ITIS,154164,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Chrysidoidea,Bethylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:24:44Z,success
Bibiodes,ITIS,121397,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Bibionomorpha,NA,Bibionidae,NA,NA,NA,Bibiodes,NA,NA,NA,NA,NA,2025-11-16T23:32:35Z,success
